,Description,Address,Price,No of beds,No of baths,No of toilets
115,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
116,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
117,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
118,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
119,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
120,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
121,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
122,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
123,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
124,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
125,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
126,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
127,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
128,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
