,Description,Address,Price,No of beds,No of baths,No of toilets
396,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
397,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
398,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
399,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
400,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
401,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
402,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
403,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
404,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
405,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
406,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
407,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
408,Luxury 2 bedroom Apartment , Lagos Island Lagos Island Lagos,Not available,2 beds,2 baths,3 Toilets
409,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
410,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
411,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
412,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
413,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
414,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
415,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
416,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
417,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
418,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
419,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
420,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
421,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
422,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
423,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
424,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
425,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
426,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
427,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
428,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
429,Gionna Apartments (2 bedroom Apartments) ,Sangotedo Lagos,Not available,2 beds,0 baths,0 Toilets
430,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
431,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
432,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
433,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
434,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
435,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
436,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
437,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
438,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
439,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
440,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
441,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
442,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
443,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
444,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
445,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
446,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
447,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
448,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
449,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
450,4 bedrooms Duplex + 2 bedrooms flat,"Alaba Street, Car Wash Bustop Oworo Oworonshoki Gbagada Lagos",Not available,4 beds,4 baths,5 Toilets
451,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
452,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
453,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
454,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
455,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
456,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
457,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
458,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
459,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
460,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
461,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
462,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
463,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
464,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
465,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
466,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
467,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
468,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
469,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
470,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
471,MASSIVE 5 BEDROOM FULLY DETACHED HOUSE ,Banana Island Banana Island Ikoyi Lagos,Not available,5 beds,6 baths,6 Toilets
472,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
473,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
474,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
475,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
476,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
477,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
478,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
479,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
480,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
481,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
482,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
483,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
484,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
485,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
486,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
487,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
488,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
489,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
490,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
491,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
492,Block of 6 units of 3 Bedroom each with bq on 1 acre of land Ikeja GRA Lagos Nigeria,Ikeja GRA Ikeja Lagos,Not available, beds, baths, Toilets
493,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
494,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
495,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
496,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
497,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
498,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
499,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
500,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
501,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
502,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
503,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
504,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
505,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
506,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
507,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
508,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
509,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
510,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
511,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
512,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
513,36 Plots of Land ,Onitsha Road Industrial Layout Owerri Imo,Not available,0 beds,0 baths,0 Toilets
514,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
515,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
516,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
517,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
518,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
519,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
520,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
521,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
522,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
523,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
524,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
525,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
526,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
527,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
528,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
529,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
530,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
531,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
532,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
533,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
534,MASSIVE 5 BEDROOM FULLY DETACHED HOUSE,Banana Island Banana Island Ikoyi Lagos,Not available,5 beds,6 baths,6 Toilets
535,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
536,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
537,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
538,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
539,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
540,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
541,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
542,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
543,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
544,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
545,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
